S.No,District,Year,Season,Crop,Rainfall(mm),Minimum Temparature(C),Maximum Temperature (C),Ph,N(Kg/Hectar),P(Kg/Hectar),K(Kg/Hectar),Zn(ppm),Fe(ppm),Cu(ppm),Mn(ppm),Irrigation(MBGL),Yield (Bales/Hectare)
353,Medchal,2018 - 2019,Kharif,Moong(Green Gram),91.14,,,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,12.63,0.81
354,Medchal,2019 - 2020,Kharif,Moong(Green Gram),160.24,19.8,44,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,18.24,0.75
355,Mulugu,2018 - 2019,Kharif,Moong(Green Gram),240.884,,,7.4,277.5,19.8,346,0.62,7.63,1.24,13.46,12.01,0.63
356,Mulugu,2019 - 2020,Kharif,Moong(Green Gram),222.5,21.8,44.2,7.4,277.5,19.8,346,0.62,7.63,1.24,13.46,12.01,0.79
357,Nagarkurnool,2016 - 2017,Kharif,Moong(Green Gram),110.26,27.3,35.8,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,20.52,0.64
358,Nagarkurnool,2017 - 2018,Kharif,Moong(Green Gram),106.62,26.5,36,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,17.47,0.64
359,Nagarkurnool,2018 - 2019,Kharif,Moong(Green Gram),72.82,,,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,13.32,0.62
360,Nagarkurnool,2019 - 2020,Kharif,Moong(Green Gram),111.58,20.1,44.7,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,14.14,0.8
361,Nalgonda,2014 - 2015,Kharif,Moong(Green Gram),93.52,28.9,41,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,,0.29
362,Nalgonda,2015 - 2016,Kharif,Moong(Green Gram),136.65,28.2,38,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,,0.52
363,Nalgonda,2016 - 2017,Kharif,Moong(Green Gram),118.0733333,28.6,38.1,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,16.14,0.41
364,Nalgonda,2017 - 2018,Kharif,Moong(Green Gram),122.495,30.5,38.5,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,12.45,0.51
365,Nalgonda,2018 - 2019,Kharif,Moong(Green Gram),118.588,,,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,12.4,0.24
366,Nalgonda,2019 - 2020,Kharif,Moong(Green Gram),114.5433333,21,44.9,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,14.81,0.29
367,Narayanapet,2018 - 2019,Kharif,Moong(Green Gram),92.66,,,7.75,150.6,33.55,276.47,0.882,10.67,0.97,10.12,15.44,0.54
368,Narayanapet,2019 - 2020,Kharif,Moong(Green Gram),98.99333333,19.9,42.6,7.75,150.6,33.55,276.47,0.882,10.67,0.97,10.12,15.44,0.4
369,Nirmal,2016 - 2017,Kharif,Moong(Green Gram),268.66,26.9,38.2,7.45,178,19.7,331,0.35,19.1,0.99,10.36,15.32,0.65
370,Nirmal,2017 - 2018,Kharif,Moong(Green Gram),160.56,27.5,36.2,7.45,178,19.7,331,0.35,19.1,0.99,10.36,11.25,0.64
371,Nirmal,2018 - 2019,Kharif,Moong(Green Gram),172.76,,,7.45,178,19.7,331,0.35,19.1,0.99,10.36,13.48,0.74
372,Nirmal,2019 - 2020,Kharif,Moong(Green Gram),198.7,18,45.5,7.45,178,19.7,331,0.35,19.1,0.99,10.36,13.04,0.81
373,Nizamabad,2014 - 2015,Kharif,Moong(Green Gram),103.5,28.1,40.6,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,,0.33
374,Nizamabad,2015 - 2016,Kharif,Moong(Green Gram),90.82,27,38.5,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,,0.31
375,Nizamabad,2016 - 2017,Kharif,Moong(Green Gram),273.02,26.1,36.8,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,21.23,0.86
376,Nizamabad,2017 - 2018,Kharif,Moong(Green Gram),144.94,26.1,38.1,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,10.85,0.64
377,Nizamabad,2018 - 2019,Kharif,Moong(Green Gram),168.88,,,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,15.63,0.63
378,Nizamabad,2019 - 2020,Kharif,Moong(Green Gram),255.82,17.6,46,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,17.2,0.79
379,Peddapalli,2016 - 2017,Kharif,Moong(Green Gram),210.42,27.4,38.6,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,11.61,0.61
380,Peddapalli,2017 - 2018,Kharif,Moong(Green Gram),136.86,27,36.9,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,8.68,0.64
381,Peddapalli,2018 - 2019,Kharif,Moong(Green Gram),226.54,,,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,11.52,0.62
382,Peddapalli,2019 - 2020,Kharif,Moong(Green Gram),244.94,20.9,45,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,11.59,0.79
383,Rajanna,2016 - 2017,Kharif,Moong(Green Gram),218.46,25.8,36.7,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,17.95,0.61
384,Rajanna,2017 - 2018,Kharif,Moong(Green Gram),125.2,27.1,36.3,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,14.3,0.64
385,Rajanna,2018 - 2019,Kharif,Moong(Green Gram),129.3,,,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,15.06,0.63
386,Rajanna,2019 - 2020,Kharif,Moong(Green Gram),236.04,18.9,44.8,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,17.98,0.79
387,Rangareddy,2014 - 2015,Kharif,Moong(Green Gram),71.84,26.6,38.2,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,,0.65
388,Rangareddy,2015 - 2016,Kharif,Moong(Green Gram),96.46,26.3,36.5,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,,0.5
389,Rangareddy,2016 - 2017,Kharif,Moong(Green Gram),133.64,25.1,34.9,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,19.44,0.69
390,Rangareddy,2017 - 2018,Kharif,Moong(Green Gram),161.36,27,35.9,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,18.37,0.64
391,Rangareddy,2018 - 2019,Kharif,Moong(Green Gram),83.84,,,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,17.24,0.63
392,Rangareddy,2019 - 2020,Kharif,Moong(Green Gram),134.92,19,44.1,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,19.93,0.79
393,Sangareddy,2016 - 2017,Kharif,Moong(Green Gram),213.84,24.8,35.5,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,23.9,0.68
394,Sangareddy,2017 - 2018,Kharif,Moong(Green Gram),163.86,26.5,35.6,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,19.45,0.8
395,Sangareddy,2018 - 2019,Kharif,Moong(Green Gram),86.58,,,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,17.53,0.74
396,Sangareddy,2019 - 2020,Kharif,Moong(Green Gram),150.16,18.2,44.7,6.9,285,28.1,355.3,1.6,11.27,2.68,13.5,24.12,0.84
397,Siddipet,2016 - 2017,Kharif,Moong(Green Gram),187.62,26.4,37.3,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,28.74,0.68
398,Siddipet,2017 - 2018,Kharif,Moong(Green Gram),146.18,27.5,35.5,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,16.03,0.64
399,Siddipet,2018 - 2019,Kharif,Moong(Green Gram),93.34,,,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,16.68,0.63
400,Siddipet,2019 - 2020,Kharif,Moong(Green Gram),196.26,19.4,44.7,5.3,270.16,37.29,302.66,1.9264,13.36,2.56,15.34,20.55,0.79
401,Suryapet,2016 - 2017,Kharif,Moong(Green Gram),109.5,27.2,36.8,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,14.86,0.41
402,Suryapet,2017 - 2018,Kharif,Moong(Green Gram),117.74,28.1,37.3,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,10.72,0.51
403,Suryapet,2018 - 2019,Kharif,Moong(Green Gram),124.22,,,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,10.53,0.45
404,Suryapet,2019 - 2020,Kharif,Moong(Green Gram),114.67,21.4,45.8,7.58,165.4,34.1,251.8,3.2,8.3,1.6,7.3,10.84,0.6
405,Vikarabad,2016 - 2017,Kharif,Moong(Green Gram),197.64,26.1,34.1,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,19.05,0.69
406,Vikarabad,2017 - 2018,Kharif,Moong(Green Gram),138.32,24.9,34,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,14.68,0.55
407,Vikarabad,2018 - 2019,Kharif,Moong(Green Gram),93.6,,,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,16.05,0.87
408,Vikarabad,2019 - 2020,Kharif,Moong(Green Gram),140.16,18.8,42.2,5.6,225.6,27,275.69,1.08,8.78,2.47,11.47,20.47,0.87
409,Wanaparthy,2016 - 2017,Kharif,Moong(Green Gram),114.72,26.1,35.3,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,12.14,0.64
410,Wanaparthy,2017 - 2018,Kharif,Moong(Green Gram),126.98,25.8,36.1,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,10.06,0.64
411,Wanaparthy,2018 - 2019,Kharif,Moong(Green Gram),72.24,,,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,7.32,0.63
412,Wanaparthy,2019 - 2020,Kharif,Moong(Green Gram),131.1,19.8,43,7.51,140.39,31.02,265.77,0.888,8.14,1.044,10.08,7.63,0.78
413,Warangal,2014 - 2015,Kharif,Moong(Green Gram),124.5,28.3,39.5,7.56,209,49,552,1.24,24.42,1.87,9.59,,0.59
414,Warangal,2015 - 2016,Kharif,Moong(Green Gram),187.74,28.1,37.4,7.56,209,49,552,1.24,24.42,1.87,9.59,,0.65
415,Warangal,2016 - 2017,Kharif,Moong(Green Gram),230.26,26.4,38.5,7.56,209,49,552,1.24,24.42,1.87,9.59,11.4,0.78
416,Warangal,2017 - 2018,Kharif,Moong(Green Gram),180.36,28.9,37.3,7.56,209,49,552,1.24,24.42,1.87,9.59,9.46,0.64
417,Warangal,2018 - 2019,Kharif,Moong(Green Gram),137.6,,,7.56,209,49,552,1.24,24.42,1.87,9.59,10.04,0.63
418,Warangal,2019 - 2020,Kharif,Moong(Green Gram),222.48,21.3,45.1,7.56,209,49,552,1.24,24.42,1.87,9.59,11.26,0.79
419,Warangal urban,2016 - 2017,Kharif,Moong(Green Gram),267.02,27.6,38.2,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,11.4,0.78
420,Warangal urban,2017 - 2018,Kharif,Moong(Green Gram),168.04,28.2,36.5,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,9.46,0.64
421,Warangal urban,2018 - 2019,Kharif,Moong(Green Gram),138.62,,,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,10.04,0.63
422,Warangal urban,2019 - 2020,Kharif,Moong(Green Gram),232.58,21.2,44.4,5.5,162.69,18.08,215.84,1.833,4.67,2.76,14.38,11.26,0.79
423,Yadadri,2016 - 2017,Kharif,Moong(Green Gram),155.98,26.1,36.5,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,17.07,0.41
424,Yadadri,2017 - 2018,Kharif,Moong(Green Gram),137.66,28.5,37.3,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,12.83,0.64
425,Yadadri,2018 - 2019,Kharif,Moong(Green Gram),76.08,,,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,13.32,0.63
426,Yadadri,2019 - 2020,Kharif,Moong(Green Gram),146.6,20,44.4,6.54,170.7,34.1,283.1,3.2,8.3,1.6,7.2,15.6,0.79
427,Adilabad,2014 - 2015,Kharif,Rice,156.04,29.1,40.5,7.55,180,17.6,284,1.35,14,0.58,12.88,,2.24
428,Adilabad,2015 - 2016,Kharif,Rice,165.74,26.1,37.6,7.55,180,17.6,284,1.35,14,0.58,12.88,,2.55
429,Adilabad,2016 - 2017,Kharif,Rice,240.52,27.3,38.3,7.55,180,17.6,284,1.35,14,0.58,12.88,14.7,2.58
430,Adilabad,2017 - 2018,Kharif,Rice,180.18,27.6,37.4,7.55,180,17.6,284,1.35,14,0.58,12.88,13.95,2.4
431,Adilabad,2018 - 2019,Kharif,Rice,256.06,,,7.55,180,17.6,284,1.35,14,0.58,12.88,14.83,3.17
432,Adilabad,2019 - 2020,Kharif,Rice,204.62,16.8,45.9,7.55,180,17.6,284,1.35,14,0.58,12.88,14.18,3.63
433,Bhadradri,2016 - 2017,Kharif,Rice,250.18,27.2,37.6,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,13.07,3.51
434,Bhadradri,2017 - 2018,Kharif,Rice,194.08,28.6,37.6,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,12.05,3.08
435,Bhadradri,2018 - 2019,Kharif,Rice,205.84,,,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,12.31,3.28
436,Bhadradri,2019 - 2020,Kharif,Rice,225.18,21.6,44.9,5.31,185.2,34.5,135,1.05,3.69,0.31,7.51,11.33,3.67
437,Jagitial,2016 - 2017,Kharif,Rice,212.14,26.9,38.2,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,11.15,3.79
438,Jagitial,2017 - 2018,Kharif,Rice,127.66,27.5,37.2,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,7.43,2.72
439,Jagitial,2018 - 2019,Kharif,Rice,191.68,,,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,9.14,4.25
440,Jagitial,2019 - 2020,Kharif,Rice,221.96,19.4,45.4,7.87,182.76,38.77,358.86,1.02,8.4,1.9,14,8.41,4.46
441,Jangoan,2016 - 2017,Kharif,Rice,198.66,26,36.9,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,16.42,3.44
442,Jangoan,2017 - 2018,Kharif,Rice,148,26.8,37.3,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,14.23,2.51
443,Jangoan,2018 - 2019,Kharif,Rice,111.3,,,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,12.79,3.1
444,Jangoan,2019 - 2020,Kharif,Rice,184.22,18.8,44.4,6.9,273.3,27.5,325,3.61,38.04,3.77,20.2,14.65,3.2
445,Jayashankar,2016 - 2017,Kharif,Rice,237.16,27.8,38.5,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,11.92,3.39
446,Jayashankar,2017 - 2018,Kharif,Rice,170.72,28.9,37.3,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,12.69,2.47
447,Jayashankar,2018 - 2019,Kharif,Rice,217.76,,,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,12.42,3.65
448,Jayashankar,2019 - 2020,Kharif,Rice,266.4,21.16666667,45.6,7.7,303.16,51.01,432.29,0.98,18.04,2.33,13.03,16.3,3.21
449,Jogulamba,2016 - 2017,Kharif,Rice,110.1,25.1,34.7,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,11.83,2.52
450,Jogulamba,2017 - 2018,Kharif,Rice,138.54,27.1,35.9,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,9.75,2.28
451,Jogulamba,2018 - 2019,Kharif,Rice,64.72,,,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,9.78,2.57
452,Jogulamba,2019 - 2020,Kharif,Rice,103.34,21.2,44.1,8.2,156.17,37.9,289.96,0.88,7.52,1.16,10.01,13.82,3.18
453,Kamareddy,2016 - 2017,Kharif,Rice,242.58,25.4,36.2,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,20.81,3.94
454,Kamareddy,2017 - 2018,Kharif,Rice,175.98,25.8,35.8,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,15.52,3.03
455,Kamareddy,2018 - 2019,Kharif,Rice,145.38,,,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,16.84,4.25
456,Kamareddy,2019 - 2020,Kharif,Rice,235.12,,,7.3,274.7,31.31,308.92,1.31,11.81,2.44,15.28,19.31,4.51
457,Karimnagar,2014 - 2015,Kharif,Rice,92.36,30.5,40.6,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,,3.53
458,Karimnagar,2015 - 2016,Kharif,Rice,134.44,26.9,38.7,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,,3.28
459,Karimnagar,2016 - 2017,Kharif,Rice,192.88,26.8,37.9,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,15.65,3.79
460,Karimnagar,2017 - 2018,Kharif,Rice,146.26,26.9,36.4,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,11.86,2.91
461,Karimnagar,2018 - 2019,Kharif,Rice,152.1,,,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,12.7,3.79
462,Karimnagar,2019 - 2020,Kharif,Rice,235.4,,,7.59,407.29,43.59,302.26,1.18,34.93,3.11,14.68,13.56,3.36
463,Khammam,2014 - 2015,Kharif,Rice,165.22,29.7,40.5,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,,2.97
464,Khammam,2015 - 2016,Kharif,Rice,212.66,27.2,37.5,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,,3.08
465,Khammam,2016 - 2017,Kharif,Rice,196.24,27.3,36.8,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,10.43,3.57
466,Khammam,2017 - 2018,Kharif,Rice,197.585,29,37.2,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,9.15,2.73
467,Khammam,2018 - 2019,Kharif,Rice,204.596,,,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,8.32,3.59
468,Khammam,2019 - 2020,Kharif,Rice,187.9066667,22.1,45,6.89,241,23.7,228.25,1.66,16.84,2.1,22.01,7.55,3.64
469,Komaram bheem asifabad,2016 - 2017,Kharif,Rice,240.24,27.7,39.3,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.97,2.72
470,Komaram bheem asifabad,2017 - 2018,Kharif,Rice,142.94,27.5,37.2,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.88,1.79
471,Komaram bheem asifabad,2018 - 2019,Kharif,Rice,226.16,,,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.94,2.09
472,Komaram bheem asifabad,2019 - 2020,Kharif,Rice,265.66,16.8,45,7.6,155,15.6,285,0.49,15.62,0.39,15.21,8.88,2.8
473,Mahabubabad,2016 - 2017,Kharif,Rice,211.04,26.7,37.7,7.6,260,20,330,1.56,17.3,3.92,17.5,10.41,3.42
474,Mahabubabad,2017 - 2018,Kharif,Rice,174.64,28.5,38.4,7.6,260,20,330,1.56,17.3,3.92,17.5,9.69,2.36
475,Mahabubabad,2018 - 2019,Kharif,Rice,150.46,,,7.6,260,20,330,1.56,17.3,3.92,17.5,10.05,3.13
476,Mahabubabad,2019 - 2020,Kharif,Rice,191.72,21.4,44.8,7.6,260,20,330,1.56,17.3,3.92,17.5,10.38,3.36
477,Mahbubnagar,2014 - 2015,Kharif,Rice,81.06,26.1,38.8,7.5,97,35.02,268,0.75,9.8,0.71,8.8,,2.54
478,Mahbubnagar,2015 - 2016,Kharif,Rice,76.1,26.8,37.7,7.5,97,35.02,268,0.75,9.8,0.71,8.8,,2.26
479,Mahbubnagar,2016 - 2017,Kharif,Rice,119.08,26.3,35,7.5,97,35.02,268,0.75,9.8,0.71,8.8,18.41,2.82
480,Mahbubnagar,2017 - 2018,Kharif,Rice,148.22,27.8,36,7.5,97,35.02,268,0.75,9.8,0.71,8.8,17.79,1.93
481,Mahbubnagar,2018 - 2019,Kharif,Rice,87.62,,,7.5,97,35.02,268,0.75,9.8,0.71,8.8,16,2.44
482,Mahbubnagar,2019 - 2020,Kharif,Rice,147.06,19.7,42.6,7.5,97,35.02,268,0.75,9.8,0.71,8.8,19.43,3.46
483,Mancherial,2016 - 2017,Kharif,Rice,175.1,29,38.8,7.52,128,49.4,238,1.65,11.58,2.2,16,7.47,3.11
484,Mancherial,2017 - 2018,Kharif,Rice,255.84,28.7,37.7,7.52,128,49.4,238,1.65,11.58,2.2,16,7.34,1.9
485,Mancherial,2018 - 2019,Kharif,Rice,145.5,,,7.52,128,49.4,238,1.65,11.58,2.2,16,8.62,3.23
486,Mancherial,2019 - 2020,Kharif,Rice,198.78,20.5,45.2,7.52,128,49.4,238,1.65,11.58,2.2,16,7.98,2.67
487,Medak,2014 - 2015,Kharif,Rice,91.4,26.1,38.5,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,,3.17
488,Medak,2015 - 2016,Kharif,Rice,98.76,24.9,36.3,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,,2.84
489,Medak,2016 - 2017,Kharif,Rice,215.82,24.9,35,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,29.09,3.06
490,Medak,2017 - 2018,Kharif,Rice,132.84,25.9,35.6,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,17.63,2.88
491,Medak,2018 - 2019,Kharif,Rice,100.4,,,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,21.18,3.48
492,Medak,2019 - 2020,Kharif,Rice,186.36,19.7,44.2,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,26.47,4.38
493,Medchal,2016 - 2017,Kharif,Rice,198.12,24.7,35.2,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,16.33,2.63
494,Medchal,2017 - 2018,Kharif,Rice,210.28,27.7,36.2,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,10.79,3.3
495,Medchal,2018 - 2019,Kharif,Rice,91.14,,,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,12.63,4.16
496,Medchal,2019 - 2020,Kharif,Rice,160.24,19.8,44,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,18.24,3.93
497,Mulugu,2018 - 2019,Kharif,Rice,240.884,,,7.4,277.5,19.8,346,0.62,7.63,1.24,13.46,12.01,3.65
498,Mulugu,2019 - 2020,Kharif,Rice,222.5,21.8,44.2,7.4,277.5,19.8,346,0.62,7.63,1.24,13.46,12.01,3.42
499,Nagarkurnool,2016 - 2017,Kharif,Rice,110.26,27.3,35.8,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,20.52,2.79
500,Nagarkurnool,2017 - 2018,Kharif,Rice,106.62,26.5,36,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,17.47,2.18
501,Nagarkurnool,2018 - 2019,Kharif,Rice,72.82,,,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,13.32,2.38
502,Nagarkurnool,2019 - 2020,Kharif,Rice,111.58,20.1,44.7,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,14.14,3.33
503,Nalgonda,2014 - 2015,Kharif,Rice,93.52,28.9,41,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,,3.1
504,Nalgonda,2015 - 2016,Kharif,Rice,136.65,28.2,38,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,,3.05
505,Nalgonda,2016 - 2017,Kharif,Rice,118.0733333,28.6,38.1,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,16.14,3.37
506,Nalgonda,2017 - 2018,Kharif,Rice,122.495,30.5,38.5,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,12.45,2.68
507,Nalgonda,2018 - 2019,Kharif,Rice,118.588,,,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,12.4,3.11
508,Nalgonda,2019 - 2020,Kharif,Rice,114.5433333,21,44.9,7.8,172,39.1,296.9,1.6,14.52,1.32,11.14,14.81,3.45
509,Narayanapet,2018 - 2019,Kharif,Rice,92.66,,,7.75,150.6,33.55,276.47,0.882,10.67,0.97,10.12,15.44,2.44
510,Narayanapet,2019 - 2020,Kharif,Rice,98.99333333,19.9,42.6,7.75,150.6,33.55,276.47,0.882,10.67,0.97,10.12,15.44,3.17
511,Nirmal,2016 - 2017,Kharif,Rice,268.66,26.9,38.2,7.45,178,19.7,331,0.35,19.1,0.99,10.36,15.32,3.12
512,Nirmal,2017 - 2018,Kharif,Rice,160.56,27.5,36.2,7.45,178,19.7,331,0.35,19.1,0.99,10.36,11.25,2.38
513,Nirmal,2018 - 2019,Kharif,Rice,172.76,,,7.45,178,19.7,331,0.35,19.1,0.99,10.36,13.48,3.24
514,Nirmal,2019 - 2020,Kharif,Rice,198.7,18,45.5,7.45,178,19.7,331,0.35,19.1,0.99,10.36,13.04,3.65
515,Nizamabad,2014 - 2015,Kharif,Rice,103.5,28.1,40.6,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,,3.6
516,Nizamabad,2015 - 2016,Kharif,Rice,90.82,27,38.5,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,,2.59
517,Nizamabad,2016 - 2017,Kharif,Rice,273.02,26.1,36.8,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,21.23,3.94
518,Nizamabad,2017 - 2018,Kharif,Rice,144.94,26.1,38.1,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,10.85,3.51
519,Nizamabad,2018 - 2019,Kharif,Rice,168.88,,,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,15.63,4.2
520,Nizamabad,2019 - 2020,Kharif,Rice,255.82,17.6,46,7.52,252,21.3,323.3,0.9,11.27,2.68,13.5,17.2,4.15
521,Peddapalli,2016 - 2017,Kharif,Rice,210.42,27.4,38.6,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,11.61,3.79
522,Peddapalli,2017 - 2018,Kharif,Rice,136.86,27,36.9,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,8.68,2.92
523,Peddapalli,2018 - 2019,Kharif,Rice,226.54,,,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,11.52,4
524,Peddapalli,2019 - 2020,Kharif,Rice,244.94,20.9,45,7.87,301.05,80.77,490.94,0.3,8.2,2.13,11.2,11.59,3.83
525,Rajanna,2016 - 2017,Kharif,Rice,218.46,25.8,36.7,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,17.95,3.79
526,Rajanna,2017 - 2018,Kharif,Rice,125.2,27.1,36.3,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,14.3,3.1
527,Rajanna,2018 - 2019,Kharif,Rice,129.3,,,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,15.06,3.7
528,Rajanna,2019 - 2020,Kharif,Rice,236.04,18.9,44.8,7.53,290.3,50.25,256.15,1.45,7.9,3.05,13.68,17.98,4.34
529,Rangareddy,2014 - 2015,Kharif,Rice,71.84,26.6,38.2,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,,2.53
530,Rangareddy,2015 - 2016,Kharif,Rice,96.46,26.3,36.5,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,,2.59
531,Rangareddy,2016 - 2017,Kharif,Rice,133.64,25.1,34.9,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,19.44,2.63
532,Rangareddy,2017 - 2018,Kharif,Rice,161.36,27,35.9,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,18.37,2.49
533,Rangareddy,2018 - 2019,Kharif,Rice,83.84,,,7.51,196.4,54.9,231.2,1.02,11.27,1.45,4.58,17.24,3.09
