S.No,District,Year,Season,Crop,Rainfall(mm),Minimum Temparature(C),Maximum Temperature (C),Ph,N(Kg/Hectar),P(Kg/Hectar),K(Kg/Hectar),Zn(ppm),Fe(ppm),Cu(ppm),Mn(ppm),Irrigation(MBGL),Yield (Bales/Hectare)
55,Mahbubnagar,2018 - 2019,Kharif,cotton(lint),87.62,,,7.5,97,35.02,268,0.75,9.8,0.71,8.8,16,1.29
56,Mahbubnagar,2019 - 2020,Kharif,cotton(lint),147.06,19.7,42.6,7.5,97,35.02,268,0.75,9.8,0.71,8.8,19.43,3.18
57,Mancherial,2016 - 2017,Kharif,cotton(lint),175.1,29,38.8,7.52,128,49.4,238,1.65,11.58,2.2,16,7.47,2.72
58,Mancherial,2017 - 2018,Kharif,cotton(lint),255.84,28.7,37.7,7.52,128,49.4,238,1.65,11.58,2.2,16,7.34,3.44
59,Mancherial,2018 - 2019,Kharif,cotton(lint),145.5,,,7.52,128,49.4,238,1.65,11.58,2.2,16,8.62,3.26
60,Mancherial,2019 - 2020,Kharif,cotton(lint),198.78,20.5,45.2,7.52,128,49.4,238,1.65,11.58,2.2,16,7.98,2.88
61,Medak,2014 - 2015,Kharif,cotton(lint),91.4,26.1,38.5,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,,1.75
62,Medak,2015 - 2016,Kharif,cotton(lint),98.76,24.9,36.3,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,,1.68
63,Medak,2016 - 2017,Kharif,cotton(lint),215.82,24.9,35,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,29.09,2.14
64,Medak,2017 - 2018,Kharif,cotton(lint),132.84,25.9,35.6,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,17.63,4.88
65,Medak,2018 - 2019,Kharif,cotton(lint),100.4,,,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,21.18,2.47
66,Medak,2019 - 2020,Kharif,cotton(lint),186.36,19.7,44.2,7.7,278.7,30.5,357,1.43,15.33,1.63,19.33,26.47,3.02
67,Medchal,2016 - 2017,Kharif,cotton(lint),198.12,24.7,35.2,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,16.33,1.59
68,Medchal,2017 - 2018,Kharif,cotton(lint),210.28,27.7,36.2,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,10.79,2.74
69,Medchal,2018 - 2019,Kharif,cotton(lint),91.14,,,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,12.63,2.14
70,Medchal,2019 - 2020,Kharif,cotton(lint),160.24,19.8,44,7.55,243.15,38.06,265.49,1.733,4.3,1.91,11.98,18.24,3.21
71,Mulugu,2018 - 2019,Kharif,cotton(lint),240.884,,,7.4,277.5,19.8,346,0.62,7.63,1.24,13.46,12.01,0.5
72,Mulugu,2019 - 2020,Kharif,cotton(lint),222.5,21.8,44.2,7.4,277.5,19.8,346,0.62,7.63,1.24,13.46,12.01,3.69
73,Nagarkurnool,2016 - 2017,Kharif,cotton(lint),110.26,27.3,35.8,7.3,184.6,16.9,232.9,1.1,13.02,1.36,12.11,20.52,1.75
